,Cloudiness / %,Humidity / %,Latitude / °,Name,Temperature / F,Wind Speed / mph
0,0,23,26.02,Gumbad,88.05,10.47
1,32,17,13.82,Karga,84.45,19.19
2,75,26,34.27,Muhmand,80.6,5.82
3,40,14,31.57,Qadir Khel,78.8,4.7
4,12,15,32.42,Qaryah-ye Khurdzai,72.48,6.55
5,90,100,59.4,Rud,30.2,6.93
6,56,80,37.88,Sang Ab,49.08,2.08
7,24,56,37.31,Shur Tughay,60.33,2.64
8,88,100,40.38,Ballaj,40.8,1.97
9,80,100,40.59,Pronovik,35.94,2.53
10,92,100,-15.07,Huila,66.72,4.09
11,75,88,-1.27,El Pueblito,75.2,5.82
12,0,68,-34.82,Punta Lara,67.33,10.29
13,20,70,47.43,Watt,42.33,9.17
14,40,45,46.66,Eis,41.72,3.36
15,75,80,48.59,Hals,39.2,12.75
16,75,80,48.06,Krenstetten,39.2,12.75
17,76,73,48.7,Niederglobnitz,38.73,5.99
18,40,45,46.66,Ratzenegg,42.8,3.36
19,0,46,-35.16,Borambola,73.4,10.29
20,92,86,-25.37,Eidsvold,69.87,11.59
21,0,58,-35.64,Koondrook,70.86,7.45
22,0,28,36.37,Kumlu,80.6,12.75
23,64,68,45.01,Donja Barska,36.21,8.23
24,40,39,43.22,Gornji Grab,46.4,17.22
25,40,39,43.26,Kokorina,37.33,17.22
26,40,100,42.56,Sitnica,40.24,20.8
27,20,62,23.91,Banshgari,89.67,1.97
28,88,24,31.17,Biala,95.07,8.68
29,0,73,24.98,Roypur,79.41,2.75
30,0,43,23.53,West Khilpara,91.4,8.05
31,75,100,51.18,Broechem,43.7,13.87
32,90,81,50.72,Herseaux,42.8,18.34
33,75,81,51.12,Moere,42.8,17.22
34,88,75,50.53,Quevaucamps,42.8,19.46
35,44,29,11.63,Kasso,84.45,13.49
36,88,98,43.43,Beli Lom,35.04,10.47
37,68,86,42.85,Chukilite,30.2,10.29
38,48,95,41.4,Iskril,44.76,4.76
39,90,86,52.25,Malina,37.4,2.24
40,75,76,40.87,Salman,57.2,3.36
41,88,86,42.92,Svetoslavtsi,30.2,10.29
42,48,72,-0.45,Kibimba,73.56,2.19
43,75,94,4.29,Abel,71.6,6.78
44,48,94,-8.16,Aristides,75.63,3.76
45,90,80,46.0,Barro,42.84,13.87
46,40,79,-2.84,Carnaubeira,84.2,8.05
47,20,78,-22.91,Cosmos,79.88,8.05
48,92,100,-7.47,Genipapo,73.2,7.11
49,20,69,-22.15,Martinopolis,77.0,11.41
50,92,93,-11.19,Pedrinhas,77.25,5.99
51,88,63,30.36,Rio Verde,50.88,2.53
52,88,100,-15.81,Taiobeiras,69.87,5.55
53,48,84,54.86,Chashniki,36.03,12.59
54,90,74,55.3,Moshkovo,35.6,17.9
55,40,78,46.12,Viry,48.81,6.93
56,88,98,17.19,Georgeville,69.06,2.98
57,20,66,49.62,Fort Steele,32.0,6.93
58,40,86,42.54,Pierson,35.28,10.29
59,40,83,18.03,Black River,77.0,17.22
60,20,49,7.27,Kimbi,95.97,8.23
61,0,65,-4.88,Ntadi,87.87,4.09
62,90,60,44.78,Bio,41.86,4.7
63,0,60,7.57,Koroko,92.01,11.03
64,20,70,5.58,Mpody,87.8,10.29
65,90,25,34.27,Wate,64.4,2.24
66,36,78,4.84,Badjoki,83.19,3.42
67,75,94,3.88,Ovangou,71.6,3.53
68,44,62,23.53,Ancun,67.89,4.54
69,40,68,30.62,Baitou,64.4,4.47
70,0,22,19.63,Bori,90.84,3.76
71,0,74,25.11,Chongxian,57.9,3.09
72,92,89,32.47,Dapingli,46.38,1.74
73,75,94,3.88,Eyang,71.6,3.53
74,80,85,35.95,Guxian,56.82,2.42
75,0,41,23.62,Huayang,64.47,4.76
76,0,48,25.81,Jiantou,65.1,7.56
77,0,48,33.97,Laokouzhuang,66.2,2.24
78,0,57,29.91,Lhabupu,16.86,5.55
79,40,41,48.92,Liuta,42.8,4.47
80,92,86,31.42,Madao,36.48,1.63
81,0,50,23.36,Nanwan,60.42,3.98
82,0,18,26.86,Panwa,87.8,10.29
83,80,72,24.74,Qincun,65.82,6.22
84,20,59,24.72,Sanfeng,63.75,11.41
85,0,65,25.28,Sanxi,57.0,3.65
86,64,27,33.99,Shangoumen,54.75,3.09
87,0,67,24.69,Shankou,57.45,3.2
88,0,14,36.97,Shidi,78.19,12.75
89,8,48,22.79,Shizhai,68.88,7.67
90,0,45,24.92,Suyang,62.6,24.61
91,20,39,34.02,Tangyu,64.4,2.24
92,0,89,29.73,Weiping,46.2,1.97
93,0,71,24.34,Wushikeng,57.27,2.19
94,0,48,25.91,Xintian,65.1,7.56
95,20,60,33.67,Xuzhuang,64.83,11.03
96,36,68,31.01,Yangjiapeng,53.67,1.07
97,0,37,30.59,Zhangwan,71.6,4.47
98,76,74,-34.33,Esmeralda,51.78,2.08
99,88,94,-34.82,Los Lobos,58.53,6.67
100,100,99,-37.47,Navidad,55.74,4.76
101,75,93,4.6,Pradilla,50.0,3.36
102,40,93,-36.8,San Ignacio,55.4,4.7
